mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,4,pca-ignore,4.530674665,,,,,,,,1.117534399,137.7308879,,,,194.790953,,,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,4,vae-ignore,4.193571329,,,,,,,200,95.5316236,181.6999054,181.6588898,40.95727539,,419.6461487,419.6056519,40.90832901,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,4,vae-embed,4.188311623,,,,,,,200,115.4113514,184.5529785,184.5328979,20.17707443,,419.1023865,419.0823669,20.16378975,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,4,lmmvae,2.042028467,,0.487007678,0.085907429,0.081951611,,,200,213.4157853,110.4579163,109.4200897,17.18904495,1020.705383,114.5484772,113.3678894,17.39657593,1163.23584
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ignore,4.770788179,,,,,,,,0.991630077,141.0848058,,,,191.9545845,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,0,vae-ignore,4.586809775,,,,,,,200,97.27421236,224.066925,224.053421,13.66139412,,458.947998,458.9339905,14.02119064,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,0,vae-embed,4.665654466,,,,,,,200,116.8769236,229.7132721,229.6954193,17.67988968,,466.865387,466.8476868,17.42749596,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.598506117,,0.674454868,0.230362773,0.099803932,,,200,213.4011664,107.4779129,106.4863892,8.003281593,983.3103027,118.1715622,116.9135971,8.120969772,1249.661865
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,1,pca-ignore,4.73957019,,,,,,,,1.008468628,140.8155535,,,,191.8827822,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,1,vae-ignore,4.555101511,,,,,,,200,93.51307583,222.5153809,222.4981689,17.08323669,,455.7785645,455.7611389,17.7100811,
