mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,4,pca-ignore,3.307696458,,,,,1.597904444,134.0790987,,,,134.3554106,,,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,4,vae-ignore,1.697477623,,,,200,101.4049802,168.563385,168.5597534,35.75918579,,169.7686157,169.7648621,36.53757858,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,4,vae-embed,2.74286172,,,,200,121.8222435,169.0825806,169.0388794,434.5038147,,274.5036621,274.4624329,414.5391541,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,4,lmmvae,1.296646265,,2.821573496,,200,201.7234235,162.8715592,160.4687805,20.91150284,24006.875,163.4432311,161.0050812,20.89754677,24360.60156
spatial,100000,100,1,1,0.0001,1,10000,3,3,FALSE,0.0001,0,pca-ignore,1.655106876,,,,,1.181321621,137.4071387,,,,137.0070058,,,
spatial,100000,100,1,1,0.0001,1,10000,3,3,FALSE,0.0001,0,vae-ignore,1.329595499,,,,200,101.1488807,133.2409058,133.2394104,16.70141602,,133.0560913,133.0544434,16.90008354,
spatial,100000,100,1,1,0.0001,1,10000,3,3,FALSE,0.0001,0,vae-embed,1.625410643,,,,200,118.7752306,132.5905914,132.5738983,164.7120972,,162.8314972,162.8214874,98.79582214,
spatial,100000,100,1,1,0.0001,1,10000,3,3,FALSE,0.0001,0,lmmvae,1.21458844,,1.026486516,,200,204.3527577,177.2988434,176.4023285,72.49584198,8893.553711,176.6438751,175.7670593,72.42613983,8695.913086
spatial,100000,100,1,1,0.0001,1,10000,3,3,FALSE,0.0001,1,pca-ignore,1.87387577,,,,,1.156167269,138.5995409,,,,138.994526,,,
spatial,100000,100,1,1,0.0001,1,10000,3,3,FALSE,0.0001,1,vae-ignore,1.572471696,,,,200,99.20316124,157.1487885,157.1474609,13.17470646,,157.5800323,157.5787659,13.3060751,
spatial,100000,100,1,1,0.0001,1,10000,3,3,FALSE,0.0001,1,vae-embed,1.433451245,,,,200,116.7528901,134.7975616,134.7961426,14.18342972,,143.5330811,143.5316772,13.21477699,
spatial,100000,100,1,1,0.0001,1,10000,3,3,FALSE,0.0001,1,lmmvae,1.153047436,,1.045946002,,200,202.9554868,164.5531769,163.7150574,121.4039001,8259.731445,166.0189972,165.1824646,120.1122284,8245.304688
spatial,100000,100,1,1,0.0001,1,10000,3,3,FALSE,0.0001,2,pca-ignore,1.781749089,,,,,1.717991114,137.7720632,,,,137.8463019,,,
