mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,vae-ignore,1.693218003,,,,200,93.64091086,168.747406,168.7456207,16.8435421,,169.3519287,169.350174,16.80703163,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,vae-embed,1.771060698,,,,200,112.9977956,175.2902832,175.1894073,1010.815979,,177.2411041,177.1394806,1016.984497,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,lmmvae,1.211859677,,2.813202858,,200,191.00072,187.1855535,184.2307129,23.73812294,29524.66797,169.7913457,166.8291168,23.62289619,29598.66602
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,pca-ignore,3.327852905,,,,,1.033412457,137.7197465,,,,137.6405593,,,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,vae-ignore,1.600388114,,,,200,93.75032401,160.4639893,160.4589081,51.54956055,,160.069458,160.0644379,51.30837631,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,vae-embed,1.668960062,,,,200,112.1573169,165.2576599,165.1835938,740.1818848,,167.0073853,166.9319611,754.2872925,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,lmmvae,1.183842814,,2.45683217,,200,191.3332384,173.8260108,171.4894104,12.1621418,23353.8418,157.6722309,155.3291016,12.19147873,23419.10156
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,pca-ignore,3.326575849,,,,,1.086701393,138.3906143,,,,138.2978763,,,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,vae-ignore,1.637897592,,,,200,93.89398646,163.2642822,163.2596588,49.21334457,,163.8272705,163.8226013,48.2123642,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,vae-embed,1.693349481,,,,200,112.6946061,166.6764679,166.6269073,493.7779541,,169.4250031,169.3756561,493.1363525,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,lmmvae,1.185433827,,2.480486155,,200,191.086246,165.7591748,163.5464325,12.60071278,22114.82227,150.7483575,148.5329285,12.60510254,22141.68555
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,4,pca-ignore,3.831661713,,,,,1.062872648,138.3042721,,,,138.3094633,,,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,4,vae-ignore,1.678425736,,,,200,94.08698535,167.6820221,167.6799164,19.51098633,,167.8677063,167.8657074,19.50617409,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,4,vae-embed,1.788899291,,,,200,112.2063758,177.3199005,177.2486877,707.6535645,,179.0082397,178.9365082,717.3048706,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,4,lmmvae,1.2373809,,2.888039351,,200,191.1341331,184.1128942,181.7722626,106.2617722,23300.05469,168.0331998,165.7001038,104.3554306,23226.60547
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,pca-ignore,3.622341483,,,,,1.092642069,132.5259695,,,,132.6093311,,,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,vae-ignore,1.592362972,,,,200,95.89046812,157.8443146,157.8401184,39.92624283,,159.2528381,159.248764,40.13027573,
