,mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
279,longitudinal,100000,100,2,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,4,vae-embed,8.679424311,,,,,,,200,89.85372353
280,longitudinal,100000,100,2,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,4,lmmvae,1.850062427,,2.838360548,0.277247816,0.066403538,,,200,194.3899293
281,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,0,pca-ignore,11.62556739,,,,,,,,0.639809608
282,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,0,vae-ignore,11.38238689,,,,,,,200,80.47077465
283,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,0,vae-embed,11.39246531,,,,,,,200,86.6829288
284,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,0,lmmvae,2.780207242,,2.998749495,0.394018471,0.117161572,,,200,191.8581705
285,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,1,pca-ignore,11.55680778,,,,,,,,0.571537256
286,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,1,vae-ignore,11.29905147,,,,,,,200,80.54515409
287,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,1,vae-embed,11.3439635,,,,,,,200,86.70620298
288,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,1,lmmvae,2.402123875,,2.949169397,0.390518844,0.117116645,,,200,191.3329661
289,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,2,pca-ignore,11.5523321,,,,,,,,0.75443387
290,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,2,vae-ignore,11.38852906,,,,,,,200,80.32720113
291,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,2,vae-embed,11.36616508,,,,,,,200,86.79018426
292,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,2,lmmvae,2.461613413,,2.980416059,0.396849394,0.118220121,,,200,191.3501794
293,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,3,pca-ignore,11.67035505,,,,,,,,0.761385918
294,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,3,vae-ignore,11.45449026,,,,,,,200,80.36992621
295,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,3,vae-embed,11.40306233,,,,,,,200,86.50186944
296,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,3,lmmvae,2.454164922,,2.971866131,0.402282029,0.121012881,,,200,191.0090206
297,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,4,pca-ignore,11.59354747,,,,,,,,0.703155041
298,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,4,vae-ignore,11.28913319,,,,,,,200,80.50188017
299,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,4,vae-embed,11.36665101,,,,,,,200,86.58202791
300,longitudinal,100000,100,1,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,4,lmmvae,2.680325947,,2.937241554,0.387884676,0.116997458,,,200,191.6273944
301,longitudinal,100000,100,2,1,0.001,1,1000,3,3,3,0.3,0.3,FALSE,0.0001,0,pca-ignore,11.85472457,,,,,,,,0.809375525
