,mode,N,p,d,sig2e,beta,re_prior,q0,q1,q2,sig2b0,sig2b1,sig2b2,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
83,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,3,vae-embed,5.636663064951558,,,,,200,85.13167428970337
84,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,3,lmmvae,1.708709182171675,,0.005594704765826464,0.2115624099969864,2.2472877502441406,200,115.41576266288757
85,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,4,pca-ignore,5.9261279498999135,,,,,,0.4399137496948242
86,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,4,pca-ohe,5.9628917511117185,,,,,,28.50927734375
87,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,4,vae-ignore,5.675758737603791,,,,,200,57.505666732788086
88,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,4,vae-ohe,5.7219960508855445,,,,,200,459.62203001976013
89,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,4,vae-embed,5.701329768361244,,,,,200,85.43532085418701
90,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,4,lmmvae,1.703932705838828,,0.005522041115909815,0.21707046031951904,2.2105698585510254,200,113.77439641952515
91,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,0,pca-ignore,6.021062295642372,,,,,,0.4908010959625244
92,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,0,pca-ohe,6.120058178161738,,,,,,31.107547283172607
93,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,0,vae-ignore,5.680517444423236,,,,,200,57.66531324386597
94,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,0,vae-ohe,5.795329316500887,,,,,200,447.7671344280243
95,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,0,vae-embed,5.7906687532008725,,,,,200,85.39163780212402
96,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,0,lmmvae,1.8712160472299237,,0.005066008772701025,0.21874625980854034,2.2106270790100098,200,116.23581552505493
97,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,1,pca-ignore,6.067601933590043,,,,,,0.49811792373657227
98,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,1,pca-ohe,6.17523916716978,,,,,,31.080079555511475
99,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,1,vae-ignore,5.7709028319083515,,,,,200,57.995869159698486
100,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,1,vae-ohe,5.913981557649123,,,,,200,444.72512698173523
101,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,1,vae-embed,5.771367748777409,,,,,200,84.91903114318848
102,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,1,lmmvae,1.8515380346333103,,0.005563471466302872,0.223827064037323,2.2739806175231934,200,112.97459316253662
103,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,2,pca-ignore,6.178042714840163,,,,,,0.48384571075439453
104,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,2,pca-ohe,6.267222757121206,,,,,,31.023706674575806
105,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,2,vae-ignore,5.816483892545025,,,,,200,57.20576310157776
106,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,2,vae-ohe,5.940435730349629,,,,,200,458.1212112903595
107,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,2,vae-embed,5.919470864459638,,,,,200,85.17580366134644
108,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,2,lmmvae,1.7672706880223819,,0.006298173684626818,0.23338571190834045,2.263124465942383,200,113.79814672470093
109,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,3,pca-ignore,5.991823595495657,,,,,,0.4877595901489258
110,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,3,pca-ohe,6.072043810257593,,,,,,31.106066703796387
111,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,3,vae-ignore,5.648853483402185,,,,,200,57.81841468811035
